Treadmil_v,Period,X,Y
0.5,1,-15.057729005813599,-44.40704584121704
0.5,1,-14.338318347930908,-35.97053289413452
0.5,1,-13.972609519958496,-18.285441398620605
0.5,1,-13.752372741699219,-11.011838912963867
0.5,1,-13.37355661392212,-18.94080638885498
0.5,1,-12.714171409606934,-32.96926021575928
0.5,1,-11.771090984344482,-47.15402126312256
0.5,1,-10.604387283325195,-58.335185050964355
0.5,1,-9.032649517059326,-78.58688831329346
0.5,1,-7.702125549316406,-66.526198387146
0.5,1,-7.432371139526367,-13.487720489501953
0.5,1,-7.151600360870361,-14.038538932800293
0.5,1,-5.664331436157227,-74.36344623565674
0.5,1,-3.8448586463928223,-90.97363948822021
0.5,1,-3.1214914321899414,-36.16836071014404
0.5,1,-2.8169565200805664,-15.22674560546875
0.5,1,-2.0157856941223145,-40.0585412979126
0.5,1,-0.8199872970581055,-59.78991985321045
0.5,1,0.2294163703918457,-52.47018337249756
0.5,1,0.9529628753662109,-36.17732524871826
0.5,1,1.7009263038635254,-37.39817142486572
0.5,1,2.452864170074463,-37.596893310546875
0.5,1,2.9939751625061035,-27.05554962158203
0.5,1,3.402782917022705,-20.440387725830078
0.5,1,3.8137683868408203,-20.54927349090576
0.5,1,4.171652317047119,-17.89419651031494
0.5,1,4.513998985290527,-17.11733341217041
0.5,1,4.88429594039917,-18.51484775543213
0.5,1,5.357535362243652,-23.66197109222412
0.5,1,5.950546741485596,-29.650568962097168
0.5,1,6.5570068359375,-30.323004722595215
0.5,1,7.131506443023682,-28.724980354309082
0.5,1,7.690866947174072,-27.96802520751953
0.5,1,8.185863971710205,-24.74985122680664
0.5,1,8.681496143341064,-24.78160858154297
0.5,1,9.17578649520874,-24.71451759338379
0.5,1,9.67930555343628,-25.175952911376953
0.5,1,10.220419883728027,-27.055716514587402
0.5,1,10.77767276763916,-27.86264419555664
0.5,1,11.333606243133545,-27.79667377471924
0.5,1,11.884519100189209,-27.545642852783203
0.5,1,12.38478708267212,-25.013399124145508
0.5,1,12.829570055007935,-22.23914861679077
0.5,1,13.22937273979187,-19.990134239196777
0.5,1,13.621341943740845,-19.59846019744873
0.5,1,13.975974082946777,-17.73160696029663
0.5,1,14.33926796913147,-18.16469430923462
0.5,1,14.623924255371094,-14.232814311981201
0.5,1,14.749669551849365,-6.287264823913574
0.5,1,14.608571767807007,7.05488920211792
0.5,1,14.192412853240967,20.807945728302002
0.5,1,13.57218861579895,31.01121187210083
0.5,1,12.701010465621948,43.5589075088501
0.5,1,11.578582286834717,56.12140893936157
0.5,1,10.037639379501343,77.0471453666687
0.5,1,7.951601982116699,104.30186986923218
0.5,1,5.766960620880127,109.23206806182861
0.5,1,2.9442927837371826,141.13339185714722
0.5,1,-0.06473398208618164,150.4513382911682
0.5,1,-2.8001229763031006,136.76944971084595
0.5,1,-5.827710151672363,151.37935876846313
0.5,1,-8.944971561431885,155.86307048797607
0.5,1,-11.863994121551514,145.95112800598145
0.5,1,-14.193627834320068,116.48168563842773
0.5,1,-16.05650806427002,93.14401149749756
0.5,1,-17.789100646972656,86.62962913513184
0.5,1,-19.247292041778564,72.90956974029541
0.5,1,-20.281561613082886,51.713478565216064
0.5,1,-20.815430164337158,26.693427562713623
0.5,1,-20.84269118309021,1.363050937652588
0.5,1,-20.438966035842896,-20.186257362365723
0.5,1,-19.982731819152832,-22.811710834503174
0.5,1,-19.63106632232666,-17.583274841308594
0.5,1,-19.190951347351074,-22.005748748779297
0.5,1,-18.42020869255066,-38.53713274002075
0.5,2,-15.567850112915039,-40.8200740814209
0.5,2,-15.02468204498291,-27.158403396606445
0.5,2,-14.780527114868164,-12.207746505737305
0.5,2,-14.733708381652832,-2.3409366607666016
0.5,2,-14.718719482421875,-0.7494449615478516
0.5,2,-14.855192184448242,6.823635101318359
0.5,2,-13.54549264907837,-65.48497676849365
0.5,2,-13.735210418701172,9.485888481140137
0.5,2,-13.465927600860596,-13.464140892028809
0.5,2,-11.788057804107666,-83.89348983764648
0.5,2,-10.736842632293701,-52.56075859069824
0.5,2,-9.54599905014038,-59.542179107666016
0.5,2,-7.923706531524658,-81.11462593078613
0.5,2,-6.412252426147461,-75.57270526885986
0.5,2,-5.0574469566345215,-67.74027347564697
0.5,2,-3.6526079177856445,-70.24195194244385
0.5,2,-2.2335638999938965,-70.9522008895874
0.5,2,-1.0069375038146973,-61.33131980895996
0.5,2,0.22972345352172852,-61.83304786682129
0.5,2,1.4434852600097656,-60.688090324401855
0.5,2,2.550604820251465,-55.35597801208496
0.5,2,3.5054826736450195,-47.743892669677734
0.5,2,4.319256782531738,-40.68870544433594
0.5,2,4.929993152618408,-30.536818504333496
0.5,2,5.63014554977417,-35.007619857788086
0.5,2,6.451358318328857,-41.060638427734375
0.5,2,7.3050007820129395,-42.6821231842041
0.5,2,8.054927825927734,-37.496352195739746
0.5,2,8.680808067321777,-31.29401206970215
0.5,2,9.250114440917969,-28.46531867980957
0.5,2,9.871111392974854,-31.04984760284424
0.5,2,10.519043445587158,-32.396602630615234
